rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated
0,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
0,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,4,5","0,1,2,4,5"
0,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
0,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4"
0,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
0,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
0,shat,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
0,sgreedy,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
0,shat,6,4,2,2,1.0,"4,5","0,1"
0,sgreedy,6,4,2,2,1.0,"4,5","0,1"
0,shat,6,5,1,1,1.0,"5,8","0,3"
0,sgreedy,6,5,1,1,1.0,"5,8","0,3"
0,shat,6,6,0,0,0.0,8,2
0,sgreedy,6,6,0,0,0.0,8,2
1,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
1,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
1,shat,6,1,5,3,0.6,"3,4,5","2,3,4"
1,sgreedy,6,1,5,3,0.6,"3,4,5","2,3,4"
1,shat,6,2,4,3,0.75,"3,4,5","1,2,3"
1,sgreedy,6,2,4,3,0.75,"3,4,5","1,2,3"
1,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
1,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
1,shat,6,4,2,2,1.0,"4,5","0,1"
1,sgreedy,6,4,2,2,1.0,"4,5","0,1"
1,shat,6,5,1,0,0.0,"6,7,8,9,10","1,2,3,4,5"
1,sgreedy,6,5,1,1,1.0,5,0
1,shat,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
1,sgreedy,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
2,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
2,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
2,shat,6,1,5,4,0.8,"2,3,4,5","1,2,3,4"
2,sgreedy,6,1,5,4,0.8,"2,3,4,5","1,2,3,4"
2,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
2,sgreedy,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
2,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
2,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
2,shat,6,4,2,2,1.0,"4,5","0,1"
2,sgreedy,6,4,2,2,1.0,"4,5","0,1"
2,shat,6,5,1,0,0.0,"6,7,8,9,10","1,2,3,4,5"
2,sgreedy,6,5,1,1,1.0,5,0
2,shat,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
2,sgreedy,6,6,0,0,0.0,"6,7,8,9,10","0,1,2,3,4"
3,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
3,sgreedy,6,0,6,5,0.8333333333333334,"0,2,3,4,5","0,2,3,4,5"
3,shat,6,1,5,3,0.6,"2,3,5","1,2,4"
3,sgreedy,6,1,5,3,0.6,"2,3,5","1,2,4"
3,shat,6,2,4,3,0.75,"2,3,5","0,1,3"
3,sgreedy,6,2,4,3,0.75,"2,3,5","0,1,3"
3,shat,6,3,3,2,0.6666666666666666,"4,5,7","1,2,4"
3,sgreedy,6,3,3,2,0.6666666666666666,"4,5,7","1,2,4"
3,shat,6,4,2,2,1.0,"4,5,7","0,1,3"
3,sgreedy,6,4,2,2,1.0,"4,5,7","0,1,3"
3,shat,6,5,1,1,1.0,"5,7","0,2"
3,sgreedy,6,5,1,1,1.0,"5,7","0,2"
3,shat,6,6,0,0,0.0,7,1
3,sgreedy,6,6,0,0,0.0,7,1
4,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
4,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5","0,1,2,3,5"
4,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
4,sgreedy,6,1,5,4,0.8,"1,2,3,5","0,1,2,4"
4,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
4,sgreedy,6,2,4,3,0.75,"2,3,5","0,1,3"
4,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
4,sgreedy,6,3,3,2,0.6666666666666666,"3,5","0,2"
4,shat,6,4,2,2,1.0,"4,5","0,1"
4,sgreedy,6,4,2,2,1.0,"4,5","0,1"
4,shat,6,5,1,1,1.0,5,0
4,sgreedy,6,5,1,1,1.0,5,0
4,shat,6,6,0,0,0.0,"7,9,10","1,3,4"
4,sgreedy,6,6,0,0,0.0,9,3
5,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
5,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,4","0,1,2,3,4"
5,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
5,sgreedy,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
5,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
5,sgreedy,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
5,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
5,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
5,shat,6,4,2,1,0.5,5,1
5,sgreedy,6,4,2,1,0.5,5,1
5,shat,6,5,1,1,1.0,5,0
5,sgreedy,6,5,1,1,1.0,5,0
5,shat,6,6,0,0,0.0,7,1
5,sgreedy,6,6,0,0,0.0,7,1
6,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
6,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,4","0,1,2,3,4"
6,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
6,sgreedy,6,1,5,4,0.8,"1,2,3,4","0,1,2,3"
6,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
6,sgreedy,6,2,4,3,0.75,"2,3,4","0,1,2"
6,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
6,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
6,shat,6,4,2,2,1.0,"4,5","0,1"
6,sgreedy,6,4,2,2,1.0,"4,5","0,1"
6,shat,6,5,1,1,1.0,5,0
6,sgreedy,6,5,1,1,1.0,5,0
6,shat,6,6,0,0,0.0,9,3
6,sgreedy,6,6,0,0,0.0,9,3
7,shat,6,0,6,5,0.8333333333333334,"0,1,2,3,4","0,1,2,3,4"
7,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,4","0,1,2,3,4"
7,shat,6,1,5,4,0.8,"1,2,3,4,8","0,1,2,3,7"
7,sgreedy,6,1,5,4,0.8,"1,2,3,4,8","0,1,2,3,7"
7,shat,6,2,4,3,0.75,"2,3,4","0,1,2"
7,sgreedy,6,2,4,3,0.75,"2,3,4","0,1,2"
7,shat,6,3,3,2,0.6666666666666666,"3,4","0,1"
7,sgreedy,6,3,3,2,0.6666666666666666,"3,4","0,1"
7,shat,6,4,2,1,0.5,"4,8","0,4"
7,sgreedy,6,4,2,1,0.5,"4,8","0,4"
7,shat,6,5,1,0,0.0,8,3
7,sgreedy,6,5,1,0,0.0,8,3
7,shat,6,6,0,0,0.0,8,2
7,sgreedy,6,6,0,0,0.0,8,2
8,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
8,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,4,5","0,1,2,4,5"
8,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
8,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4"
8,shat,6,2,4,3,0.75,"2,4,5","0,2,3"
8,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
8,shat,6,3,3,2,0.6666666666666666,"3,4","0,1"
8,sgreedy,6,3,3,2,0.6666666666666666,"3,4","0,1"
8,shat,6,4,2,1,0.5,4,0
8,sgreedy,6,4,2,1,0.5,4,0
8,shat,6,5,1,1,1.0,5,0
8,sgreedy,6,5,1,1,1.0,5,0
8,shat,6,6,0,0,0.0,10,4
8,sgreedy,6,6,0,0,0.0,10,4
9,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
9,sgreedy,6,0,6,5,0.8333333333333334,"0,1,3,4,5","0,1,3,4,5"
9,shat,6,1,5,4,0.8,"1,3,4,5","0,2,3,4"
9,sgreedy,6,1,5,3,0.6,"3,4,5","2,3,4"
9,shat,6,2,4,3,0.75,"3,4,5","1,2,3"
9,sgreedy,6,2,4,3,0.75,"3,4,5","1,2,3"
9,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
9,sgreedy,6,3,3,2,0.6666666666666666,"4,5","1,2"
9,shat,6,4,2,2,1.0,"4,5","0,1"
9,sgreedy,6,4,2,2,1.0,"4,5","0,1"
9,shat,6,5,1,1,1.0,5,0
9,sgreedy,6,5,1,1,1.0,5,0
9,shat,6,6,0,0,0.0,7,1
9,sgreedy,6,6,0,0,0.0,7,1
10,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
10,sgreedy,6,0,6,5,0.8333333333333334,"0,1,3,4,5","0,1,3,4,5"
10,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
10,sgreedy,6,1,5,2,0.4,"1,3","0,2"
10,shat,6,2,4,3,0.75,"3,4,5","1,2,3"
10,sgreedy,6,2,4,3,0.75,"3,4,5","1,2,3"
10,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
10,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
10,shat,6,4,2,2,1.0,"4,5","0,1"
10,sgreedy,6,4,2,2,1.0,"4,5","0,1"
10,shat,6,5,1,1,1.0,5,0
10,sgreedy,6,5,1,1,1.0,5,0
10,shat,6,6,0,0,0.0,"10,11","4,5"
10,sgreedy,6,6,0,0,0.0,"6,8,9","0,2,3"
11,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
11,sgreedy,6,0,6,5,0.8333333333333334,"0,1,3,4,5","0,1,3,4,5"
11,shat,6,1,5,3,0.6,"1,3,4","0,2,3"
11,sgreedy,6,1,5,3,0.6,"1,3,4","0,2,3"
11,shat,6,2,4,1,0.25,3,1
11,sgreedy,6,2,4,1,0.25,3,1
11,shat,6,3,3,1,0.3333333333333333,3,0
11,sgreedy,6,3,3,1,0.3333333333333333,3,0
11,shat,6,4,2,2,1.0,"4,5,7,10","0,1,3,6"
11,sgreedy,6,4,2,1,0.5,4,0
11,shat,6,5,1,1,1.0,"5,6,7,8,9,10,11","0,1,2,3,4,5,6"
11,sgreedy,6,5,1,1,1.0,"5,8,11","0,3,6"
11,shat,6,6,0,0,0.0,"6,7,8,9,10,11","0,1,2,3,4,5"
11,sgreedy,6,6,0,0,0.0,"6,8,9","0,2,3"
12,shat,6,0,6,6,1.0,"0,1,2,3,4,5,8","0,1,2,3,4,5,8"
12,sgreedy,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
12,shat,6,1,5,5,1.0,"1,2,3,4,5,9","0,1,2,3,4,8"
12,sgreedy,6,1,5,5,1.0,"1,2,3,4,5,9","0,1,2,3,4,8"
12,shat,6,2,4,3,0.75,"2,3,5,8","0,1,3,6"
12,sgreedy,6,2,4,3,0.75,"2,3,5,8","0,1,3,6"
12,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
12,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
12,shat,6,4,2,2,1.0,"4,5","0,1"
12,sgreedy,6,4,2,2,1.0,"4,5","0,1"
12,shat,6,5,1,1,1.0,5,0
12,sgreedy,6,5,1,1,1.0,5,0
12,shat,6,6,0,0,0.0,8,2
12,sgreedy,6,6,0,0,0.0,8,2
13,shat,6,0,6,5,0.8333333333333334,"0,1,2,4,5,8","0,1,2,4,5,8"
13,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,4,5,8","0,1,2,4,5,8"
13,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
13,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4"
13,shat,6,2,4,3,0.75,"2,4,5","0,2,3"
13,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
13,shat,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
13,sgreedy,6,3,3,3,1.0,"3,4,5,8","0,1,2,5"
13,shat,6,4,2,2,1.0,"4,5,8","0,1,4"
13,sgreedy,6,4,2,2,1.0,"4,5,8","0,1,4"
13,shat,6,5,1,1,1.0,"5,8","0,3"
13,sgreedy,6,5,1,1,1.0,"5,8","0,3"
13,shat,6,6,0,0,0.0,8,2
13,sgreedy,6,6,0,0,0.0,8,2
14,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
14,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5","0,1,2,3,5"
14,shat,6,1,5,2,0.4,"3,5","2,4"
14,sgreedy,6,1,5,2,0.4,"3,5","2,4"
14,shat,6,2,4,2,0.5,"3,5","1,3"
14,sgreedy,6,2,4,2,0.5,"3,5","1,3"
14,shat,6,3,3,2,0.6666666666666666,"3,5","0,2"
14,sgreedy,6,3,3,2,0.6666666666666666,"3,5","0,2"
14,shat,6,4,2,1,0.5,5,1
14,sgreedy,6,4,2,1,0.5,5,1
14,shat,6,5,1,1,1.0,5,0
14,sgreedy,6,5,1,1,1.0,5,0
14,shat,6,6,0,0,0.0,9,3
14,sgreedy,6,6,0,0,0.0,9,3
15,shat,6,0,6,6,1.0,"0,1,2,3,4,5,7,9","0,1,2,3,4,5,7,9"
15,sgreedy,6,0,6,6,1.0,"0,1,2,3,4,5,9","0,1,2,3,4,5,9"
15,shat,6,1,5,5,1.0,"1,2,3,4,5,7,9","0,1,2,3,4,6,8"
15,sgreedy,6,1,5,5,1.0,"1,2,3,4,5,9","0,1,2,3,4,8"
15,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
15,sgreedy,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
15,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
15,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
15,shat,6,4,2,2,1.0,"4,5","0,1"
15,sgreedy,6,4,2,2,1.0,"4,5","0,1"
15,shat,6,5,1,1,1.0,"5,7,9","0,2,4"
15,sgreedy,6,5,1,1,1.0,"5,7,9","0,2,4"
15,shat,6,6,0,0,0.0,"7,9","1,3"
15,sgreedy,6,6,0,0,0.0,"7,9","1,3"
16,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
16,sgreedy,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
16,shat,6,1,5,4,0.8,"1,2,3,4","0,1,2,3"
16,sgreedy,6,1,5,2,0.4,"3,4","2,3"
16,shat,6,2,4,2,0.5,"3,4","1,2"
16,sgreedy,6,2,4,2,0.5,"3,4","1,2"
16,shat,6,3,3,2,0.6666666666666666,"3,4","0,1"
16,sgreedy,6,3,3,2,0.6666666666666666,"3,4","0,1"
16,shat,6,4,2,1,0.5,4,0
16,sgreedy,6,4,2,1,0.5,4,0
16,shat,6,5,1,1,1.0,5,0
16,sgreedy,6,5,1,1,1.0,5,0
