rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
0,shat,6,0,6,3,0.5,"0,2,4,7,9","0,2,4,7,9","[(0, 2), (0, 1, 2), (0, 2, 3), (0, 2, 4), (0, 1, 2, 4), (0, 2, 3, 4), (0, 1, 2, 3, 4), (0, 2, 4, 7, 9)]","[0.9058442172288657, 0.8974838884980875, 0.9087555417436103, 0.8369269278372673, 0.8397528880185943, 0.8449557909560019, 0.8662631229461022, 0.010730223894680278]"
0,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,4","0,1,2,3,4","[(0, 2), (0, 2, 4), (0, 2, 3, 4), (0, 1, 2, 3, 4), (0, 1, 2, 3, 4, 5), (0, 1, 2, 3, 4)]","[0.9058442172288657, 0.8369269278372673, 0.8449557909560019, 0.8662631229461022, 0.8281534181890959, 0.8662631229461022]"
0,shat,6,1,5,5,1.0,"1,2,3,4,5,9","0,1,2,3,4,8","[(0, 1), (0, 1, 3), (0, 1, 8), (0, 1, 2, 8), (0, 1, 2, 3, 8), (0, 1, 2, 3, 4, 8)]","[0.019618494677905465, 0.06680682517381827, 0.21415442310688698, 0.11796361424560341, 0.17863271293396532, 0.17958327537085478]"
0,sgreedy,6,1,5,4,0.8,"1,2,3,4,9","0,1,2,3,8","[(0, 1), (0, 1, 8), (0, 1, 2, 8), (0, 1, 2, 3, 8), (0, 1, 2, 3, 4, 8), (0, 1, 2, 3, 8)]","[0.019618494677905465, 0.21415442310688698, 0.11796361424560341, 0.17863271293396532, 0.17958327537085478, 0.17863271293396532]"
0,shat,6,2,4,3,0.75,"2,3,4,7,9","0,1,2,5,7","[(0, 2), (0, 1, 2), (0, 5, 7), (0, 1, 5, 7), (0, 2, 5, 7), (0, 1, 2, 5, 7)]","[0.0140635591658454, 0.02349210128802405, 0.05994939859079104, 0.07031639471186742, 0.08394471158507305, 0.06506297646703556]"
0,sgreedy,6,2,4,4,1.0,"2,3,4,5","0,1,2,3","[(0, 2), (0, 1, 2), (0, 1, 2, 3), (0, 1, 2, 3, 5), (0, 1, 2, 3)]","[0.0140635591658454, 0.02349210128802405, 0.021164070336623115, 0.010803910847305016, 0.021164070336623115]"
0,shat,6,3,3,1,0.3333333333333333,"4,9","1,6","[(1, 6)]",[]
0,sgreedy,6,3,3,1,0.3333333333333333,"4,9","1,6","[(1, 6)]",[1.761912955728553e-31]
0,shat,6,4,2,1,0.5,"4,9","0,5","[(0, 5)]",[]
0,sgreedy,6,4,2,1,0.5,"4,9","0,5","[(0, 5)]",[1.761912955728553e-31]
0,shat,6,5,1,1,1.0,"5,9","0,4","[(0, 4)]",[]
0,sgreedy,6,5,1,1,1.0,"5,9","0,4","[(0, 4)]",[4.6180095010179287e-32]
0,shat,6,6,0,0,0.0,9,3,"[(3,)]",[]
0,sgreedy,6,6,0,0,0.0,9,3,"[(3,)]",[4.2476868993193783e-32]
1,shat,6,0,6,5,0.8333333333333334,"0,1,2,3,5,7,9,10","0,1,2,3,5,7,9,10","[(0, 1, 2, 5), (0, 1, 2, 3, 5), (0, 1, 2, 3, 5, 7), (0, 1, 2, 3, 5, 7, 10), (0, 1, 2, 3, 5, 7, 9, 10)]","[0.6030160671972364, 0.6293541049445932, 0.5724934071701806, 0.6048256646288349, 0.10531246051984164]"
1,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5,7,10","0,1,2,3,5,7,10","[(0, 1, 2, 5), (0, 1, 2, 3, 5), (0, 1, 2, 3, 5, 7), (0, 1, 2, 3, 5, 7, 10), (0, 1, 2, 3, 5, 7, 9, 10), (0, 1, 2, 3, 5, 7, 10)]","[0.6030160671972364, 0.6293541049445932, 0.5724934071701806, 0.6048256646288349, 0.10531246051984164, 0.6048256646288349]"
1,shat,6,1,5,4,0.8,"1,2,4,5,7,9","0,1,3,4,6,8","[(0, 1, 3, 4, 6, 8)]",[]
1,sgreedy,6,1,5,4,0.8,"1,2,3,5","0,1,2,4","[(0, 1, 2, 4)]",[0.0011171979524966739]
1,shat,6,2,4,4,1.0,"2,3,4,5,7,11","0,1,2,3,5,9","[(0, 1, 2, 3, 5, 9)]",[]
1,sgreedy,6,2,4,3,0.75,"2,4,5,9,11","0,2,3,7,9","[(0, 2, 3, 7, 9)]",[2.509321276653274e-15]
1,shat,6,3,3,3,1.0,"3,4,5,10","0,1,2,7","[(0, 1, 2, 7)]",[]
1,sgreedy,6,3,3,2,0.6666666666666666,"3,5,7,9","0,2,4,6","[(0, 2, 4, 6)]",[4.439012778458958e-19]
1,shat,6,4,2,2,1.0,"4,5,7,9,10","0,1,3,5,6","[(0, 1, 3, 5, 6)]",[]
1,sgreedy,6,4,2,1,0.5,"5,6,7,8,11","1,2,3,4,7","[(1, 2, 3, 4, 7)]",[6.864082648215892e-19]
1,shat,6,5,1,1,1.0,"5,6,7,8,11","0,1,2,3,6","[(0, 1, 2, 3, 6)]",[]
