rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated,accepted_sets,accepted_pvals
0,shat,6,0,6,5,0.8333333333333334,"0,1,2,3,5,7,10","0,1,2,3,5,7,10","[(0, 2), (0, 1, 2), (0, 2, 3), (0, 2, 4), (0, 2, 7), (0, 2, 3, 7), (0, 2, 4, 7), (0, 2, 7, 10), (0, 1, 2, 7, 10), (0, 2, 3, 7, 10), (0, 1, 2, 3, 7, 10), (0, 1, 2, 3, 5, 7, 10)]","[0.9058442172288657, 0.8974838884980875, 0.9087555417436103, 0.8369269278372673, 0.010694529881567069, 0.01219533578840064, 0.07236387695289445, 0.047436616845552074, 0.08859572240539136, 0.05181634576854008, 0.1068113618014217, 0.03382414108228444]"
0,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5,7,10","0,1,2,3,5,7,10","[(0, 2), (0, 2, 7), (0, 2, 7, 10), (0, 2, 3, 7, 10), (0, 1, 2, 3, 7, 10), (0, 1, 2, 3, 5, 7, 10), (0, 1, 2, 3, 4, 5, 7, 10), (0, 1, 2, 3, 5, 7, 10)]","[0.9058442172288657, 0.010694529881567069, 0.047436616845552074, 0.05181634576854008, 0.10681136180139016, 0.03382414108229703, 0.10027876760729468, 0.03382414108228444]"
0,shat,6,1,5,4,0.8,"1,2,4,5","0,1,3,4","[(0, 1), (0, 1, 3), (0, 1, 3, 4)]","[0.019618494677905465, 0.06680682517381827, 0.06087917698222178]"
0,sgreedy,6,1,5,3,0.6,"1,2,4","0,1,3","[(0, 1), (0, 1, 3), (0, 1, 3, 4), (0, 1, 3)]","[0.019618494677905465, 0.06680682517381827, 0.06087917698222178, 0.06680682517381827]"
0,shat,6,2,4,4,1.0,"2,3,4,5,10","0,1,2,3,8","[(0, 2), (0, 1, 2), (0, 1, 8), (0, 1, 2, 8), (0, 1, 3, 8), (0, 1, 2, 3, 8)]","[0.0140635591658454, 0.02349210128802405, 0.056069429450289525, 0.07998563667946779, 0.04159386192579592, 0.05867432937253733]"
0,sgreedy,6,2,4,4,1.0,"2,3,4,5,10","0,1,2,3,8","[(0, 2), (0, 2, 8), (0, 1, 2, 8), (0, 1, 2, 3, 8), (0, 1, 3, 8), (0, 1, 2, 3, 8)]","[0.0140635591658454, 0.01699660099637812, 0.07998563667946779, 0.05867432937253733, 0.04159386192579592, 0.05867432937253733]"
0,shat,6,3,3,1,0.3333333333333333,"4,10","1,7","[(1, 7)]",[]
0,sgreedy,6,3,3,1,0.3333333333333333,"4,10","1,7","[(1, 7)]",[5.3755871401776e-36]
0,shat,6,4,2,1,0.5,"4,10","0,6","[(0, 6)]",[]
0,sgreedy,6,4,2,1,0.5,"4,10","0,6","[(0, 6)]",[5.3755871401776e-36]
0,shat,6,5,1,1,1.0,"5,10","0,5","[(0, 5)]",[]
0,sgreedy,6,5,1,1,1.0,"5,10","0,5","[(0, 5)]",[5.655263725283319e-38]
0,shat,6,6,0,0,0.0,10,4,"[(4,)]",[]
0,sgreedy,6,6,0,0,0.0,10,4,"[(4,)]",[2.2922177277273771e-38]
1,shat,6,0,6,5,0.8333333333333334,"0,1,2,3,5","0,1,2,3,5","[(0, 1, 2, 5), (0, 1, 2, 3, 5)]","[0.6030160671972364, 0.6293541049445932]"
1,sgreedy,6,0,6,5,0.8333333333333334,"0,1,2,3,5","0,1,2,3,5","[(0, 1, 2, 5), (0, 1, 2, 3, 5), (0, 1, 2, 3, 4, 5), (0, 1, 2, 3, 5)]","[0.6030160671972364, 0.6293541049445932, 0.5871088818731325, 0.6293541049445932]"
